City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
304,kismayo,-0.3582,42.5454,25.1,89,100,0.57,SO,1700414420
305,sao paulo de olivenca,-3.3783,-68.8725,37.2,39,56,1.76,BR,1700414421
306,yongfeng,27.4283,112.1834,13.48,62,1,0.12,CN,1700414421
307,kalulushi,-12.8378,28.0919,24.64,44,58,1.57,ZM,1700414422
308,dieppe,49.75,1.1667,12.96,81,97,1.34,FR,1700414327
309,gangapur,26.4833,76.7167,19.93,43,0,2.35,IN,1700414423
310,sao gabriel da cachoeira,-0.1303,-67.0892,34.89,55,40,3.6,BR,1700414424
311,port augusta,-32.5,137.7667,17.49,66,99,6.45,AU,1700414178
312,newman,37.3138,-121.0208,13.91,64,4,3.13,US,1700414176
313,tabuk,17.4189,121.4443,20.82,87,99,1.61,PH,1700414426
314,ceska lipa,50.6855,14.5376,9.69,95,40,2.65,CZ,1700414427
315,yeppoon,-23.1333,150.7333,20.88,90,74,2.66,AU,1700414427
316,tsiombe,-25.3,45.4833,25.05,75,52,1.26,MG,1700414428
317,king,47.4665,-121.8179,3.66,91,100,2.24,US,1700414429
318,turpan,42.9333,89.1667,7.5,38,100,0.18,CN,1700414429
319,san antonio de pale,-1.4014,5.6325,25.9,85,100,6.01,GQ,1700414430
320,touros,-5.1989,-35.4608,29.85,62,4,5.94,BR,1700414430
321,kone,-21.0595,164.8658,22.07,89,50,2.05,NC,1700414149
322,sechura,-5.5569,-80.8222,26.04,61,62,2.52,PE,1700414168
323,ghat,24.9647,10.1728,21.61,21,85,2.67,LY,1700414431
324,tshikapa,-6.4167,20.8,23.51,92,100,0.98,CD,1700414431
325,hamilton,39.1834,-84.5333,13.92,45,0,0.89,US,1700414229
326,karabaglar,38.374,27.1352,7.35,70,40,1.54,TR,1700414432
327,sitangkai,4.6628,119.3928,27.52,82,77,7.2,PH,1700414399
328,keren,15.7778,38.4581,25.38,57,100,0.29,ER,1700414433
329,las heras,-46.5419,-68.9359,16.44,26,75,4.8,AR,1700414328
330,aripuana,-9.1667,-60.6333,29.43,62,100,1.32,BR,1700414434
331,arroyito,-31.4202,-63.05,31.73,19,13,6.46,AR,1700414434
332,sebdou,34.637,-1.3314,13.61,22,1,2.41,DZ,1700414435
